"subID","block","trial","image","imageIdx","cueIdx","cue_string","congruent","response","accuracy","RT","cueDuration","learningRound","trueCue","congCue","imgLockedRT","condition"
32,1,1," S4-20.jpg",2,2," purple","congruent",2,1,1.9575,0.8,1,0.8,0.8,1.1575,"condition_80cue"
32,1,2," S3-12.jpg",1,3," green","neutral",1,1,1.5058,0.8,1,0.5,0.5,0.7058,"condition_80cue"
32,1,3," S4-20.jpg",2,2," purple","congruent",2,1,1.4387,0.8167,1,0.8,0.8,0.622,"condition_80cue"
32,1,4," S3-12.jpg",1,1," orange","congruent",1,1,1.8709,0.9,1,0.8,0.8,0.9709,"condition_80cue"
32,1,5," S3-12.jpg",1,2," purple","incongruent",1,1,2.4218,1.1667,1,0.8,0.2,1.2551,"condition_80cue"
32,1,6," S3-12.jpg",1,1," orange","congruent",1,1,1.6326,0.7667,1,0.8,0.8,0.8659,"condition_80cue"
32,1,7," S3-12.jpg",1,1," orange","congruent",1,1,1.6266,0.9167,1,0.8,0.8,0.7099,"condition_80cue"
32,1,8," S3-12.jpg",1,1," orange","congruent",1,1,1.7539,1.1167,1,0.8,0.8,0.6372,"condition_80cue"
32,1,9," S4-20.jpg",2,3," green","neutral",2,1,1.378,0.8667,1,0.5,0.5,0.5113,"condition_80cue"
32,1,10," S3-12.jpg",1,3," green","neutral",1,1,1.4364,0.8,1,0.5,0.5,0.6364,"condition_80cue"
32,1,11," S3-12.jpg",1,3," green","neutral",1,1,1.8377,0.9167,1,0.5,0.5,0.921,"condition_80cue"
32,1,12," S3-12.jpg",1,1," orange","congruent",1,1,0.751,0.8333,1,0.8,0.8,-0.0823,"condition_80cue"
32,1,13," S4-20.jpg",2,1," orange","incongruent",1,0,0.5429,1.5,1,0.8,0.2,-0.9571,"condition_80cue"
32,1,14," S3-12.jpg",1,1," orange","congruent",1,1,1.4248,0.8333,1,0.8,0.8,0.5915,"condition_80cue"
32,1,15," S3-12.jpg",1,3," green","neutral",1,1,1.4248,0.9833,1,0.5,0.5,0.4415,"condition_80cue"
