"subID","block","trial","image","imageIdx","cueIdx","cue_string","congruent","response","accuracy","RT","cueDuration","learningRound","trueCue","congCue","imgLockedRT"
72,1,90," S4-20.jpg",2,2," green","congruent",2,1,1.3367,0.8333,1,0.65,0.65,0.5034
73,1,1," S2-19.jpg",1,1," orange","congruent",1,1,1.7905,0.7667,1,0.65,0.65,1.0238
73,1,2," S1-15.jpg",2,3," purple","neutral",2,1,1.2298,0.8,1,0.5,0.5,0.4298
73,1,3," S1-15.jpg",2,3," purple","neutral",2,1,0.4186,0.8833,1,0.5,0.5,-0.4647
73,1,4," S1-15.jpg",2,2," green","congruent",2,1,1.5451,0.9167,1,0.65,0.65,0.6284
73,1,5," S1-15.jpg",2,3," purple","neutral",2,1,0.5881,0.7667,1,0.5,0.5,-0.1786
73,1,6," S2-19.jpg",1,1," orange","congruent",1,1,0.5986,0.8167,1,0.65,0.65,-0.2181
73,1,7," S1-15.jpg",2,3," purple","neutral",2,1,0.4963,0.9833,1,0.5,0.5,-0.487
73,1,8," S1-15.jpg",2,1," orange","incongruent",1,0,0.3518,0.9167,1,0.65,0.35,-0.5649
73,1,9," S2-19.jpg",1,3," purple","neutral",2,0,1.4121,1.0167,1,0.5,0.5,0.3954
73,1,10," S2-19.jpg",1,3," purple","neutral",1,1,1.5774,1.0667,1,0.5,0.5,0.5107
73,1,11," S1-15.jpg",2,2," green","congruent",2,1,1.2024,0.7667,1,0.65,0.65,0.4357
73,1,12," S1-15.jpg",2,2," green","congruent",2,1,1.4719,0.9333,1,0.65,0.65,0.5386
73,1,13," S1-15.jpg",2,1," orange","incongruent",1,0,1.1649,0.9833,1,0.65,0.35,0.1816
73,1,14," S1-15.jpg",2,2," green","congruent",2,1,1.3069,0.9,1,0.65,0.65,0.4069
73,1,15," S2-19.jpg",1,1," orange","congruent",1,1,1.3897,0.8667,1,0.65,0.65,0.523
73,1,16," S2-19.jpg",1,2," green","incongruent",2,0,1.001,0.7667,1,0.65,0.35,0.2343
73,1,17," S2-19.jpg",1,1," orange","congruent",1,1,1.2249,0.8333,1,0.65,0.65,0.3916
73,1,18," S2-19.jpg",1,2," green","incongruent",1,1,1.3069,0.8667,1,0.65,0.35,0.4402
73,1,19," S1-15.jpg",2,3," purple","neutral",2,1,1.3542,0.7833,1,0.5,0.5,0.5709
73,1,20," S1-15.jpg",2,2," green","congruent",2,1,1.2832,0.8833,1,0.65,0.65,0.3999
73,1,21," S1-15.jpg",2,1," orange","incongruent",1,0,1.2249,0.9167,1,0.65,0.35,0.3082
